Depth (m),qc (MPa),fs (kPa),Rf (%),u2 (kPa),gamma (kN/m3),M (MN/m2),OCR (-),su (kPa),sampling_name(-)
20.13,0.9101666666666667,15.9,1.7469327961911738,845.1,19.4,,1.34,74,Norway_site
6.5,0.49768,15.039999999999997,3.022022182928789,375.86,18.96,3.3,1.39,,Norway_site
9.969999999999999,0.5583333333333332,12.516666666666667,2.241791045,427.51666666666665,19.24,3.3,1.5664165103189494,,Norway_site
14.780000000000001,0.7103400000000001,13.040000000000001,1.8357406312470084,652.9,19.18,7.5,1.46,,Norway_site
19.52,0.87992,14.940000000000001,1.6978816256023277,827.9599999999998,19.64,6.2,1.31,,Norway_site
9.7,8.89,92.63,1.041957255343082,-32.89,20.341943595620098,11.58564900583339,1.011326860841424,,Austria_site4
15.52,0.98,12.89,1.3153061224489797,643.13,20.41157372,9.964275987062539,0.9917355371900827,,Austria_site4
21.2,1.13,8.47,0.7495575221238938,939.67,19.79484976,7.107423721627204,0.9807928075194116,,Austria_site4
24.5,1.25,9.47,0.7576,1079.5,19.54993491,10.128205128205114,1.159840521928235,,Austria_site4
9.7,8.89,92.63,1.041957255343082,-32.89,20.57072829,12.931338766369919,1.2135922330097089,,Austria_site4
15.5,0.88,12.73,1.4465909090909093,629.56,20.341943595620098,7.905046622334741,1.1570247933884297,,Austria_site4
21.5,1.33,10.38,0.780451128,840.26,20.35189076,8.626609283134897,1.1442582754393136,,Austria_site4
24.5,1.25,9.47,0.7576,1079.5,18.9990769,9.520875795019062,1.0148604566872057,,Austria_site4
9.7,8.89,92.63,1.041957255343082,-32.89,20.6,,,,Austria_site4
15.52,0.98,12.89,1.3153061224489797,643.13,20.4,,,,Austria_site4
21.2,1.13,8.47,0.7495575221238938,939.67,20.4,,,,Austria_site4
24.5,1.25,9.47,0.7576,1079.5,19.5,,,,Austria_site4
5.194999999999999,6.118,99.01299999999999,1.6183883622098723,-62.415,20.5,,,,Austria_site4
12.194999999999999,12.183,115.76300000000002,0.9502010998932942,-38.471,20.5,,,,Austria_site4
20.195,1.442,42.321,2.934882108183079,732.7109999999999,20.2,,,,Austria_site4
26.195,1.3459999999999996,14.652999999999999,1.0886329866270434,1109.58,19.5,,,,Austria_site4
13.044999999999998,3.249,41.025000000000006,1.2626962142197602,237.57100000000003,19.94,,,200,Austria_site4
20.235,1.2120000000000002,29.332000000000004,2.420132013,821.5949999999999,19.56,,,120,Austria_site4
24.244999999999997,1.2200000000000002,9.350999999999999,0.7664754098360653,1061.73,20.25,,,130,Austria_site4
0.7900000000000001,0.153,5.333333333333333,3.4858387799564268,14.88888888888889,16.41,1.554,4.123595505617978,,Ballina_Inclo 2
1.76,0.15800000000000003,8.111111111,5.133614627285512,45.77777777777778,16.240000000000002,,,9.4,Ballina_Inclo 2
1.8599999999999999,0.15922222222222224,7.444444444444445,4.675505931612003,56.44444444444444,16.419999999999998,2.843,3.2642857142857142,,Ballina_Inclo 2
